TANGGAL,DESKRIPSI,NOMER PART,Qty,Sat,PENGGUNA,No Lamb, HARGA  , JUMLAH 
2023-10-14,Fuel Filter NKR & NMR / ASTRA, I8 98037481-A,1,pcs, N 8430 BF ,313,"90,675","90,675"
2023-10-14,BAUT RODA JUMBO UNIVERSAL RR-LH/ BK,DARI PAK MUQ,1,pcs, N 8430 BF ,313,"70,000","70,000"
2023-10-14,BAUT RODA NKR71 RR-LH (IBK),73 MOTOR,2,pcs, N 8430 BF ,313,"60,000","120,000"
2023-10-14,SEAL RODA BELAKANG DALAM NMR71,MAKMUR MOTOR,1,pcs, N 8430 BF ,313,"65,000","65,000"
2023-10-14,SEAL REM NKR71 40493,73 MOTOR,2,pcs, N 8430 BF ,313,"10,000","20,000"
2023-10-14,SEAL DEBU CANTER/NKR71,73 MOTOR,2,pcs, N 8430 BF ,313,"4,000","8,000"
2023-10-14,Minyak Rem PRESTONE / ARNEX,DOT 3,0.3,ltr, N 8430 BF ,313,"75,000","22,500"
2023-10-14,UM Storing ke Puntir ,Kas ,3,org, N 8477 UG ,601,"15,000","22,500"
2023-10-14,UM Storing ke Puntir ,Kas ,3,pcs, N 9491 UH ,114,"15,000","22,500"
2023-10-14,Rumah Nap NKR 66 / L - 5,73 Motor,1,pcs, N 8477 UG ,601,"775,000","775,000"
2023-10-14,Baut Stud nap/ASTRA,8-97359803-0,8,pcs, N 8477 UG ,601,"28,000","224,000"
2023-10-14,Mur Nap/ASTRA,17-05110 010-A,8,pcs, N 8477 UG ,601,"10,000","80,000"
2023-10-14,Washer Nap/ASTRA,8-97360004-0,8,pcs, N 8477 UG ,601,"29,000","232,000"
2023-10-14,Bearing Roda Belakang Dalam NKR / JUB,29586 YA/22YA,1,pcs, N 8477 UG ,601,"202,500","202,500"
2023-10-14,Bearing Roda Belakang Luar / JUB,28680/22 KOYO,1,pcs, N 8477 UG ,601,"186,000","186,000"
2023-10-14,Seal Roda blk Luar NKR & NMR - RM,8 - 94336-317-1,1,pcs, N 8477 UG ,601,"31,500","31,500"
2023-10-14,Seal Roda Belakang Dalam NKR - RM,8-94336-316-0,1,pcs, N 8477 UG ,601,"37,500","37,500"
2023-10-14,Baut Roda NKR 66 RR-RH,73 Motor,5,pcs, N 8477 UG ,601,"55,000","275,000"
2023-10-14,AS RODA NKR71,73 MOTOR,1,pcs, N 8477 UG ,601,"1,200,000","1,200,000"
2023-10-14,RING BAGONG NKR71,73 MOTOR,1,pcs, N 8477 UG ,601,"25,000","25,000"
2023-10-14,MUR BAGONG NKR71,73 MOTOR,1,pcs, N 8477 UG ,601,"85,000","85,000"
2023-10-14,Lem Silicone Hitam,Makmur Motor,1,pcs, N 8477 UG ,601,"12,500","12,500"
2023-10-14,OIL PERTAMINA SAE 140,RORED HDA 140,6,ltr, N 8477 UG ,601,"40,000","240,000"
2023-10-14,GARDAN set NMR,*,1,set, N 9491 UH ,114,0,0
2023-10-16,Oil Engine MEDITRAN SX PLUS ( 200 L ),Cahaya Gunung Jati,11.5,ltr, N 8448 UF ,126,"33,750","388,125"
2023-10-16,Oil Filter NKR & NMR/ Astra,16-97247 514-0,1,pcs, N 8448 UF ,126,"94,575","94,575"
2023-10-16,Fuel Filter NKR & NMR / ASTRA, I8 98037481-A,1,pcs, N 8448 UF ,126,"93,000","93,000"
2023-10-16,FUEL FILTER DMAX I6-98159 693-0,ASTRA ISUZU,1,pcs, N 8448 UF ,126,"75,000","75,000"
2023-10-16,MASTER KOPLING BAWAH NKR71,73 Motor,1,set, N 8303 UH ,110,"185,000","185,000"
